Accession	Protein names	Gene names
A2AMZ4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	Ndufaf8
A2AN08	E3 ubiquitin-protein ligase UBR4	Ubr4
A2AN08-2	Isoform 2 of E3 ubiquitin-protein ligase UBR4	Ubr4
A2AN08-3	Isoform 3 of E3 ubiquitin-protein ligase UBR4	Ubr4
A2AN08-4	Isoform 4 of E3 ubiquitin-protein ligase UBR4	Ubr4
A2AN08-5	Isoform 5 of E3 ubiquitin-protein ligase UBR4	Ubr4
A2ANU3	Synapse differentiation-inducing gene protein 1	Syndig1
A2ANX9	Zinc finger protein 711	Znf711
A2AP18	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	Plch2
A2AP18-2	"Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	Plch2
A2AP18-3	"Isoform 3 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	Plch2
A2AP18-4	"Isoform 4 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	Plch2
A2AP18-5	"Isoform 5 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	Plch2
A2APA5	Protein FAM209	Fam209
A2APB8	Targeting protein for Xklp2	Tpx2
A2APC3	Probable tubulin polyglutamylase TTLL9	Ttll9
A2APC3-2	Isoform 2 of Probable tubulin polyglutamylase TTLL9	Ttll9
A2APF3	Transcriptional repressor CTCFL	Ctcfl
A2APF3-2	Isoform 2 of Transcriptional repressor CTCFL	Ctcfl
A2APT9	Kelch domain-containing protein 7A	Klhdc7a
A2APV2	Formin-like protein 2	Fmnl2
A2APV2-2	Isoform 2 of Formin-like protein 2	Fmnl2
A2APV2-3	Isoform 3 of Formin-like protein 2	Fmnl2
A2APX8	Sodium channel protein type 1 subunit alpha	Scn1a
A2APX8-2	Isoform 2 of Sodium channel protein type 1 subunit alpha	Scn1a
A2APX8-3	Isoform 3 of Sodium channel protein type 1 subunit alpha	Scn1a
A2APY7	"Arginine-hydroxylase NDUFAF5, mitochondrial"	Ndufaf5
A2APY7-2	"Isoform 2 of Arginine-hydroxylase NDUFAF5, mitochondrial"	Ndufaf5
A2AQ07	Tubulin beta-1 chain	Tubb1
A2AQ14	Protein Mis18-beta	Oip5
A2AQ19	RNA polymerase-associated protein RTF1 homolog	Rtf1
A2AQ25	Sickle tail protein	Skt
A2AQ25-2	Isoform 2 of Sickle tail protein	Skt
A2AQ25-3	Isoform 3 of Sickle tail protein	Skt
A2AQ25-4	Isoform 4 of Sickle tail protein	Skt
