Accession	Protein names	Gene names
E9Q1L5	Sentrin-specific protease 7	Senp7
E9Q1L6	Olfactory receptor	Olfr248
E9Q1L7	DnaJ homolog subfamily C member 28	Dnajc28
E9Q1L8	Zinc finger protein 493	Zfp493
E9Q1M1	PDZ domain-containing 2	Pdzd2
E9Q1M3	Predicted gene 3250	Gm3250
E9Q1M5	Exostosin-2	Ext2
E9Q1M6	Ankyrin repeat and KH domain-containing 1	Ankhd1
E9Q1M8	Non-specific serine/threonine protein kinase	Mast4
E9Q1N7	Predicted gene 8126	Gm8126
E9Q1P0	Olfactory receptor	Olfr739
E9Q1P2	Olfactory receptor	Olfr288
E9Q1P5	SH3 and multiple ankyrin repeat domains protein 3 (Fragment)	Shank3
E9Q1Q0	"Solute carrier family 4 (anion exchanger), member 1, adaptor protein"	Slc4a1ap
E9Q1Q1	Non-specific serine/threonine protein kinase	Mast2
E9Q1Q4	Trophinin	Tro
E9Q1Q5	Vomeronasal type-1 receptor	Vmn1r113
E9Q1Q9	Ketohexokinase	Khk
E9Q1R2	"4-hydroxy-2-oxoglutarate aldolase, mitochondrial"	Hoga1
E9Q1R5	Voltage-dependent P/Q-type calcium channel subunit alpha	Cacna1a
E9Q1R6	RWD domain-containing protein 3	Rwdd3
E9Q1R7	Rho guanine nucleotide exchange factor TIAM1	Tiam1
E9Q1S3	Protein transport protein SEC23	Sec23a
E9Q1S5	Endothelin-converting enzyme 2	Ece2
E9Q1S9	Cystatin-12	Cst12
E9Q1T1	Calcium/calmodulin-dependent protein kinase	Camk2d
E9Q1T3	Mitogen-activated protein kinase kinase kinase kinase 5	Map4k5
E9Q1T5	MARVEL domain-containing protein 2	Marveld2
E9Q1T6	Low density lipoprotein receptor-related protein 3	Lrp3
E9Q1T9	Exportin-2	Cse1l
E9Q1U0	EGF-containing fibulin-like extracellular matrix protein 2 (Fragment)	Efemp2
E9Q1U2	Synaptopodin-2	Synpo2
E9Q1U5	RIKEN cDNA 4931406B18 gene (Fragment)	4931406B18Rik
E9Q1U6	CBP80/20-dependent translation initiation factor	Ctif
E9Q1U7	NAD(P)(+)--arginine ADP-ribosyltransferase (Fragment)	Art3
E9Q1U8	Transcription intermediary factor 1-alpha	Trim24
E9Q1V0	Hsc70-interacting protein (Fragment)	St13
E9Q1V2	Copine-5 (Fragment)	Cpne5
E9Q1V3	"Dihydroorotate dehydrogenase (quinone), mitochondrial"	Dhodh
E9Q1V4	Transforming growth factor beta-1-induced transcript 1 protein	Tgfb1i1
E9Q1V6	Asc-type amino acid transporter 1	Slc7a10
E9Q1V9	Calcium/calmodulin-dependent protein kinase	Camk2d
E9Q1W0	Calcium/calmodulin-dependent protein kinase	Camk2d
E9Q1W3	Nebulin	Neb
E9Q1W7	TBC domain-containing protein kinase-like protein	Tbck
E9Q1W9	Predicted gene 6871	Gm6871
E9Q1X2	5-hydroxytryptamine receptor 7	Htr7
E9Q1X6	RIKEN cDNA 6430550D23 gene	6430550D23Rik
E9Q1X7	Rho-related BTB domain-containing protein 1	Rhobtb1
E9Q1X8	Voltage-dependent calcium channel subunit alpha-2/delta-1	Cacna2d1
E9Q1X9	Hsc70-interacting protein (Fragment)	St13
E9Q1Y1	Transcription cofactor vestigial-like protein 3	Vgll3
E9Q1Y3	Apolipoprotein B-100 (Fragment)	Apob
E9Q1Y4	Multiple C2 and transmembrane domain-containing protein 1	Mctp1
E9Q1Y6	Rac GTPase-activating protein 1 (Fragment)	Racgap1
E9Q1Y9	Keratin 83	Krt83
E9Q1Z0	Keratin 90	Krt90
E9Q1Z2	ENTH domain-containing 1	Enthd1
E9Q1Z6	Paired-Ig-like receptor A12	Pira12
E9Q202	Low-density lipoprotein receptor-related protein 1B	Lrp1b
E9Q203	VPS10 domain-containing receptor SorCS1 (Fragment)	Sorcs1
E9Q206	"Predicted gene, 17490"	Gm17490
E9Q207	Predicted gene 8267	Gm8267
E9Q210	Tyrosine-protein phosphatase non-receptor type 4	Ptpn4
E9Q213	RCC1 and BTB domain-containing protein 2 (Fragment)	Rcbtb2
E9Q214	Coiled-coil domain-containing 24 (Fragment)	Ccdc24
E9Q218	Zinc finger protein 58 (Fragment)	Zfp58
E9Q220	Serine/threonine-protein kinase ULK4	Ulk4
E9Q221	Equilibrative nucleoside transporter 1 (Fragment)	Slc29a1
E9Q223	"Hemoglobin, beta adult s chain (Fragment)"	Hbb-bs
E9Q226	Cyclin Y-like 1	Ccnyl1
E9Q235	Vomeronasal type-1 receptor	Vmn1r88
E9Q238	KN motif and ankyrin repeat domains 1	Kank1
E9Q242	Adenylosuccinate lyase	Adsl
E9Q243	Renalase	Rnls
E9Q247	SID1 transmembrane family member 1	Sidt1
E9Q248	Asc-type amino acid transporter 1	Slc7a10
E9Q251	V-type immunoglobulin domain-containing suppressor of T-cell activation (Fragment)	Vsir
E9Q252	Olfactory receptor 655	Olfr655
E9Q253	DNA damage-inducible transcript 4-like protein (Fragment)	Ddit4l
E9Q257	Predicted gene 8237	Gm8237
E9Q258	Serine/threonine-protein kinase Nek8 (Fragment)	Nek8
E9Q260	Serine/threonine-protein kinase 31	Stk31
E9Q263	Protein unc-13 homolog B	Unc13b
E9Q264	"Myosin, heavy chain 15"	Myh15
E9Q265	Formylglycine-generating enzyme	Sumf1
E9Q269	Mesoderm induction early response protein 2 (Fragment)	Mier2
E9Q270	Mu-type opioid receptor	Oprm1
E9Q271	WD repeat domain 17	Wdr17
E9Q273	Cytokine-inducible SH2-containing protein	Cish
E9Q277	"Vomeronasal 2, receptor 4"	Vmn2r4
E9Q279	Polypyrimidine tract-binding protein 1	Ptbp1
E9Q280	"Vomeronasal 2, receptor 18"	Vmn2r18
E9Q281	"Vomeronasal 2, receptor 114"	Vmn2r114
E9Q283	Receptor for retinol uptake STRA6 (Fragment)	Stra6
E9Q284	Coilin	Coil
E9Q287	"A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3"	Adamts3
E9Q288	ETS translocation variant 5 (Fragment)	Etv5
E9Q289	Acyl-Coenzyme A-binding domain-containing 4	Acbd4
E9Q292	Histamine H3 receptor	Hrh3
E9Q294	Interleukin-10 receptor subunit beta	Il10rb
E9Q295	Predicted gene 973	Gm973
E9Q296	Acyl-coenzyme A oxidase	Acox3
E9Q2A0	EGF-containing fibulin-like extracellular matrix protein 2 (Fragment)	Efemp2
E9Q2A2	"Predicted gene, 38392 (Fragment)"	Gm38392
E9Q2A4	Polyamine-transporting ATPase 13A2	Atp13a2
E9Q2A6	Non-specific protein-tyrosine kinase	Ptk2b
E9Q2A7	Predicted gene 3594	Gm3594
E9Q2B0	General transcription factor 3C polypeptide 4	Gtf3c4
E9Q2B2	Nuclear receptor corepressor 1	Ncor1
E9Q2B7	Oxidoreductase NAD-binding domain-containing protein 1 (Fragment)	Oxnad1
E9Q2B9	Olfactory receptor	Olfr466
E9Q2C0	Cilia and flagella-associated protein 46	Cfap46
E9Q2C2	ADP-ribosylation factor 4	Arf4
E9Q2C3	Class E basic helix-loop-helix protein 40	Bhlhe40
E9Q2C4	"Type II inositol 3,4-bisphosphate 4-phosphatase (Fragment)"	Inpp4b
E9Q2C6	PiggyBac transposable element-derived 1	Pgbd1
E9Q2C7	Borealin (Fragment)	Cdca8
E9Q2C8	"Inositol 1,4,5-triphosphate receptor-associated 2 (Fragment)"	Irag2
E9Q2D0	WAS/WASL-interacting protein family member 3	Wipf3
E9Q2D1	"Actin, cytoplasmic 1 (Fragment)"	Actb
E9Q2D3	Zinc finger protein 202	Zfp202
E9Q2D4	C-X-C chemokine receptor type 4 (Fragment)	Cxcr4
E9Q2E2	Serologically defined colon cancer antigen 8 homolog	Sdccag8
E9Q2E4	HECT domain E3 ubiquitin protein ligase 4	Hectd4
E9Q2E5	Rap guanine nucleotide exchange factor 3	Rapgef3
E9Q2E6	Ellis-van Creveld syndrome protein homolog	Evc
E9Q2E9	Keratin-associated protein 11-1	Krtap11-1
E9Q2F1	EF-hand calcium-binding domain-containing protein 4A	Cracr2b
E9Q2F3	PWWP domain-containing DNA repair factor 3B (Fragment)	Pwwp3b
E9Q2F4	Cytokine-inducible SH2-containing protein (Fragment)	Cish
E9Q2G1	Acidic leucine-rich nuclear phosphoprotein 32 family member E	Anp32e
E9Q2G2	Clusterin (Fragment)	Clu
E9Q2G4	RIKEN cDNA 4931406B18 gene	4931406B18Rik
E9Q2G5	Bone morphogenetic protein receptor type-1A (Fragment)	Bmpr1a
E9Q2G7	"Solute carrier family 2, facilitated glucose transporter member 3 (Fragment)"	Slc2a3
E9Q2G8	Serine/threonine-protein kinase MARK2 (Fragment)	Mark2
E9Q2H1	E3 ubiquitin-protein ligase UBR5	Ubr5
E9Q2H3	Nuclear receptor coactivator 4 (Fragment)	Ncoa4
E9Q2H5	Predicted gene 3233	Gm3233
E9Q2H8	"Hydroxyacylglutathione hydrolase, mitochondrial (Fragment)"	Hagh
E9Q2I1	Chloride channel protein	Clcn3
E9Q2I4	Mitotic deacetylase-associated SANT domain protein	Mideas
E9Q2J1	Activator of yeast meiotic promoters 1	Aym1
E9Q2J2	Transmembrane emp24 domain-containing protein 5	Tmed5
E9Q2J5	"Vomeronasal 2, receptor 104"	Vmn2r104
E9Q2J6	Serine/threonine-protein kinase MARK2 (Fragment)	Mark2
E9Q2J8	Calcyphosin-2	Caps2
E9Q2K0	RELT-like protein 2 (Fragment)	Rell2
E9Q2K2	Protein TANC2 (Fragment)	Tanc2
E9Q2K8	Protein S100-A14	S100a14
E9Q2L0	Cytochrome P450 2C70	Cyp2c70
E9Q2L1	Paired amphipathic helix protein Sin3a (Fragment)	Sin3a
E9Q2L2	Disks large homolog 2	Dlg2
E9Q2L5	Prolactin receptor (Fragment)	Prlr
E9Q2L7	RBR-type E3 ubiquitin transferase	Rnf19b
E9Q2L8	Gamma-aminobutyric acid receptor subunit alpha-1 (Fragment)	Gabra1
E9Q2M1	Predicted gene 5799	Gm5799
E9Q2M2	Tonsoku-like protein	Tonsl
E9Q2M3	Chromosome transmission fidelity protein 18 homolog	Chtf18
E9Q2M4	Zinc finger protein 867	Zfp867
E9Q2M5	GRB10-interacting GYF protein 2 (Fragment)	Gigyf2
E9Q2M6	Myocyte-specific enhancer factor 2B	Mef2b
E9Q2N0	Cleavage and polyadenylation-specific factor 4-like	Cpsf4l
E9Q2N2	Fibroblast growth factor	Fgf9
E9Q2N3	Chloride channel protein 1	Clcn1
E9Q2N4	Vomeronasal type-1 receptor	Vmn1r184
E9Q2N7	Guanylate-binding protein 2	Gbp2
E9Q2P0	Slit homolog 1 protein	Slit1
E9Q2P1	Dermokine	Dmkn
E9Q2P3	Epidermal growth factor receptor kinase substrate 8-like protein 1	Eps8l1
E9Q2P5	Serine/threonine-protein kinase ULK4	Ulk4
E9Q2P6	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase	Alg13
E9Q2P9	"Frataxin, mitochondrial"	Fxn
E9Q2Q1	"Predicted gene, 21103"	Gm21103
E9Q2Q2	Metallophosphoesterase domain-containing protein 1	Mpped1
E9Q2Q6	Transducin-like enhancer protein 1	Tle1
E9Q2Q7	Transferrin (Fragment)	Trf
E9Q2Q9	SH3 domain-binding glutamic acid-rich protein (Fragment)	Sh3bgr
E9Q2R3	Thiamine transporter 1	Slc19a2
E9Q2R5	Cytosolic carboxypeptidase 1 (Fragment)	Agtpbp1
E9Q2R6	Glyoxalase domain-containing protein 4	Glod4
E9Q2R8	Protein PALS2	Pals2
E9Q2S0	Protocadherin 7	Pcdh7
E9Q2S4	PRAME-like 11	Pramel11
E9Q2S6	Zinc finger protein 780B	Zfp780b
E9Q2S7	Zinc finger protein 266	Zfp266
E9Q2S8	26S proteasome non-ATPase regulatory subunit 2	Psmd2
E9Q2S9	Coiled-coil domain-containing protein 43	Ccdc43
E9Q2T3	Tenascin XB	Tnxb
E9Q2T4	RIKEN cDNA 4930523C07 gene	4930523C07Rik
E9Q2T8	EGF-containing fibulin-like extracellular matrix protein 2 (Fragment)	Efemp2
E9Q2T9	1-acyl-sn-glycerol-3-phosphate acyltransferase delta (Fragment)	Agpat4
E9Q2U4	"N-alpha-acetyltransferase 35, NatC auxiliary subunit (Fragment)"	Naa35
E9Q2U5	"Vomeronasal 2, receptor 91"	Vmn2r91
E9Q2U6	Casein kinase I isoform alpha	Csnk1a1
E9Q2U7	Prefoldin 4 (Fragment)	Pfdn4
E9Q2U8	"Predicted gene, 20721"	Gm20721
E9Q2V1	Carbonic anhydrase-related protein 10	Car10
E9Q2V3	Transcription factor Sp1 (Fragment)	Sp1
E9Q2V7	TBC1 domain family member 14	Tbc1d14
E9Q2V8	Ribosome biogenesis protein BRX1 homolog (Fragment)	Brix1
E9Q2V9	SOSS complex subunit B1 (Fragment)	Nabp2
E9Q2W1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related (Fragment)	Hmg20b
E9Q2W2	Apoptosis-resistant E3 ubiquitin protein ligase 1 (Fragment)	Arel1
E9Q2W7	1-acyl-sn-glycerol-3-phosphate acyltransferase delta	Agpat4
E9Q2W8	BLOC-1-related complex subunit 5	Borcs5
E9Q2W9	Alpha-actinin-4 (Fragment)	Actn4
E9Q2X0	T-complex protein 10a	Tcp10a
E9Q2X2	Neurexin-3-beta	Nrxn3
E9Q2X5	Mu-type opioid receptor	Oprm1
E9Q2X6	Structural maintenance of chromosomes protein	Smc4
E9Q2Y0	EP300-interacting inhibitor of differentiation 2B	Eid2b
E9Q2Y1	Glutamate receptor	Grik1
E9Q2Y3	NF-kappa-B essential modulator	Ikbkg
E9Q2Y5	Zinc finger and BTB domain-containing protein 49	Zbtb49
E9Q2Y9	Desumoylating isopeptidase 1	Desi1
E9Q2Z0	Exo-alpha-sialidase (Fragment)	Neu2
E9Q2Z9	Serine hydrolase-like protein (Fragment)	Serhl
E9Q302	Protein timeless homolog (Fragment)	Timeless
E9Q307	Pleckstrin homology-like domain family B member 1	Phldb1
E9Q308	Gasdermin-E (Fragment)	Gsdme
E9Q310	Glucocorticoid receptor (Fragment)	Nr3c1
E9Q314	Protein BEAN1	Bean1
E9Q317	Histone deacetylase complex subunit SAP18	Sap18
E9Q318	"Family with sequence similarity 71, member F2 (Fragment)"	Fam71f2
E9Q321	"Beta,beta-carotene 15,15'-dioxygenase"	Bco1
E9Q323	Patatin-like phospholipase domain-containing protein 2 (Fragment)	Pnpla2
E9Q326	2'-5' oligoadenylate synthetase 1H	Oas1h
E9Q328	RIKEN cDNA 5430401F13 gene	5430401F13Rik
E9Q330	1-alkyl-2-acetylglycerophosphocholine esterase (Fragment)	Pla2g7
E9Q331	Thyrotroph embryonic factor (Fragment)	Tef
E9Q333	Inactive ADP-ribosyltransferase ARH2 (Fragment)	Adprhl1
E9Q334	"Troponin T, slow skeletal muscle (Fragment)"	Tnnt1
E9Q339	Laminin subunit beta-1 (Fragment)	Lamb1
E9Q340	Pleckstrin homology-like domain family B member 1	Phldb1
E9Q341	Non-specific serine/threonine protein kinase (Fragment)	Stk36
E9Q346	Taste receptor type 2	Vmn1r160
E9Q350	BAI1-associated protein 3	Baiap3
E9Q351	C-C chemokine receptor type 5	Ccr5
E9Q352	Cytosolic carboxypeptidase 1	Agtpbp1
E9Q356	Cyclic AMP-dependent transcription factor ATF-1	Atf1
E9Q357	HEAT repeat-containing 4	Heatr4
E9Q359	Disintegrin and metalloproteinase domain-containing protein 8 (Fragment)	Adam8
E9Q360	Integrator complex subunit 10	Ints10
E9Q361	Integrator complex subunit 10	Ints10
E9Q363	F-BAR and double SH3 domains protein 1 (Fragment)	Fchsd1
E9Q364	Serine/threonine-protein kinase TAO3 (Fragment)	Taok3
E9Q365	Vomeronasal type-1 receptor	Vmn1r101
E9Q366	Spermatogenesis-associated glutamate (E)-rich protein 4f2	Speer4f2
E9Q368	TAR RNA-binding protein 1	Tarbp1
E9Q372	Myotubularin-related protein 13	Sbf2
E9Q373	Vomeronasal type-1 receptor	Vmn1r238
E9Q374	Bromodomain adjacent to zinc finger domain protein 2A	Baz2a
E9Q382	Olfactory receptor	Olfr623
E9Q387	Transcriptional enhancer factor TEF-1	Tead1
E9Q389	Gametogenetin-binding protein 2 (Fragment)	Ggnbp2
E9Q390	Myoferlin	Myof
E9Q391	Uridine phosphorylase 1 (Fragment)	Upp1
E9Q392	RING-type E3 ubiquitin transferase	Rad18
E9Q393	"Carnitine O-palmitoyltransferase 1, muscle isoform (Fragment)"	Cpt1b
E9Q395	Antigen-presenting glycoprotein CD1d1	Cd1d1
E9Q396	"Pro-neuregulin-3, membrane-bound isoform"	Nrg3
E9Q397	Spectrin beta chain	Sptb
E9Q3A0	RING-type E3 ubiquitin transferase	Trim36
E9Q3A5	"Vomeronasal 2, receptor 105"	Vmn2r105
E9Q3A6	cDNA sequence BC024139	BC024139
E9Q3A7	"Cadherin 19, type 2"	Cdh19
E9Q3B1	RCC1 and BTB domain-containing protein 2	Rcbtb2
E9Q3B2	Pogo transposable element with KRAB domain	Pogk
E9Q3B8	Protein AF-9	Mllt3
E9Q3B9	Monoglyceride lipase	Mgll
E9Q3C2	"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"	Cyp27b1
E9Q3C3	Vacuolar protein sorting-associated protein 53 homolog (Fragment)	Vps53
E9Q3C4	Poly(ADP-ribose) glycohydrolase	Parg
E9Q3C5	Huntingtin-interacting protein 1-related protein (Fragment)	Hip1r
E9Q3D1	Equilibrative nucleoside transporter 1 (Fragment)	Slc29a1
E9Q3D3	Folate receptor alpha (Fragment)	Folr1
E9Q3D4	Hydroxysteroid (17-beta) dehydrogenase 14	Hsd17b14
E9Q3D6	Heat shock protein HSP 90-beta (Fragment)	Hsp90ab1
E9Q3D9	Mesoderm induction early response protein 2 (Fragment)	Mier2
E9Q3E2	Synaptopodin	Synpo
E9Q3E3	Glycine receptor subunit beta	Glrb
E9Q3E5	C-C chemokine receptor type 5 (Fragment)	Ccr5
E9Q3E8	Pituitary adenylate cyclase-activating polypeptide type I receptor	Adcyap1r1
E9Q3E9	Staphylococcal nuclease domain-containing protein 1	Snd1
E9Q3F3	EGF-containing fibulin-like extracellular matrix protein 2 (Fragment)	Efemp2
E9Q3F5	"Vomeronasal 2, receptor 76"	Vmn2r76
E9Q3F7	Retrotransposon-derived protein PEG10	Peg10
E9Q3F9	Protein NDRG1 (Fragment)	Ndrg1
E9Q3G0	Zinc finger and SCAN domain-containing 4B	Zscan4b
E9Q3G2	Receptor for retinol uptake STRA6 (Fragment)	Stra6
E9Q3G4	Sterile alpha motif domain-containing protein 3	Samd3
E9Q3G7	Phospholipid-transporting ATPase	Atp11a
E9Q3G8	Nucleoporin 153	Nup153
E9Q3G9	NCK-associated protein 5	Nckap5
E9Q3H1	Ribosomal protein S6 kinase alpha-6	Rps6ka6
E9Q3H2	Zinc finger protein 444 (Fragment)	Zfp444
E9Q3H4	Sushi domain-containing 1	Susd1
E9Q3H6	Coenzyme Q10A	Coq10a
E9Q3H7	"Dynein, axonemal, heavy chain 6"	Dnah6
E9Q3H9	DNA polymerase iota	Poli
E9Q3I1	Gamma-crystallin F	Crygf
E9Q3I3	Spermatogenesis-associated protein 13	Spata13
E9Q3I4	Intersectin-1	Itsn1
E9Q3I5	Intersectin-1	Itsn1
E9Q3I6	Mitogen-activated protein kinase	Mapk4
E9Q3I8	Intersectin-1	Itsn1
E9Q3I9	Intersectin-1	Itsn1
E9Q3J1	E3 ubiquitin-protein ligase	Dtx3
E9Q3J3	Coiled-coil domain-containing protein 169	Ccdc169
E9Q3K0	Predicted gene 6588	Gm6588
E9Q3K1	"Nuclear transcription factor, X-box-binding-like 1 (Fragment)"	Nfxl1
E9Q3K2	Olfactory receptor	Olfr31
E9Q3K3	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1"	Agap1
E9Q3K4	Small integral membrane protein 10-like 1	Smim10l1
E9Q3K6	Predicted gene 10401	Gm10401
E9Q3L1	Unconventional myosin-VI	Myo6
E9Q3L4	Interferon-activated gene 207	Ifi207
E9Q3L6	RIKEN cDNA 4930579F01 gene	4930579F01Rik
E9Q3L7	Predicted gene 20715	Gm20715
E9Q3M0	Mothers against decapentaplegic homolog	Smad2
E9Q3M3	Dynactin subunit 1	Dctn1
E9Q3M5	Anion exchange protein	Slc4a5
E9Q3M6	Bis(5'-adenosyl)-triphosphatase (Fragment)	Fhit
E9Q3M7	RIKEN cDNA A530032D15Rik gene (Fragment)	A530032D15Rik
E9Q3M9	Capping protein-inhibiting regulator of actin-like	Cracdl
E9Q3N0	ATP-dependent DNA helicase	Recql
E9Q3N1	High affinity cationic amino acid transporter 1 (Fragment)	Slc7a1
E9Q3N8	Thyrotroph embryonic factor (Fragment)	Tef
E9Q3N9	EGF-containing fibulin-like extracellular matrix protein 2	Efemp2
E9Q3P4	Centromere protein F	Cenpf
E9Q3P9	Ras-related protein Rab-11A	Rab11a
E9Q3Q4	Neurexin-3-beta	Nrxn3
E9Q3Q5	Cysteine-rich protein 2-binding protein (Fragment)	Kat14
E9Q3Q6	CD166 antigen	Alcam
E9Q3Q7	S-phase kinase-associated protein 1	Skp1
E9Q3R6	Zinc finger protein 169	Zfp169
E9Q3R9	Zinc finger and BTB domain-containing 21	Zbtb21
E9Q3S2	Melanoma inhibitory activity protein 2	Mia2
E9Q3S5	Complement receptor type 2	Cr2
E9Q3S9	Splicing factor U2AF 26 kDa subunit (Fragment)	U2af1l4
E9Q3T3	Kinesin-like protein KIF14	Kif14
E9Q3T4	Mitochondrial import inner membrane translocase subunit Tim23	Timm23
E9Q3T5	Cytosolic carboxypeptidase 1 (Fragment)	Agtpbp1
E9Q3T7	Adenylosuccinate lyase	Adsl
E9Q3T8	Trafficking protein particle complex subunit 9	Trappc9
E9Q3T9	Natural killer cells antigen CD94	Klrd1
E9Q3U1	Ubiquitin-conjugating enzyme E2 H	Ube2h
E9Q3U2	Predicted gene 20449	Gm20449
E9Q3U5	"N-alpha-acetyltransferase 16, NatA auxiliary subunit"	Naa16
E9Q3U6	Killer cell lectin-like receptor subfamily B member 1C	Klrb1c
E9Q3U7	"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial"	Cox16
E9Q3V0	Sodium- and chloride-dependent glycine transporter 1	Slc6a9
E9Q3V2	UDP-N-acetylglucosamine transporter (Fragment)	Slc35a3
E9Q3V6	Septin-2	Septin2
E9Q3V7	tRNA selenocysteine 1-associated protein 1	Trnau1ap
E9Q3V9	Adhesion G protein-coupled receptor L1	Adgrl1
E9Q3W1	Casein kinase I isoform alpha	Csnk1a1
E9Q3W4	Plectin	Plec
E9Q3W5	Essential for reactive oxygen species protein (Fragment)	Cybc1
E9Q3W6	Kinetochore-associated protein NSL1 homolog	Nsl1
E9Q3W8	RCC1 and BTB domain-containing protein 2 (Fragment)	Rcbtb2
E9Q3X0	Major vault protein	Mvp
E9Q3X4	Hermansky-Pudlak syndrome 5 protein homolog	Hps5
E9Q3X6	Amine oxidase	Maob
E9Q3X7	RELT-like protein 2	Rell2
E9Q3X9	Serine protease hepsin (Fragment)	Hpn
E9Q3Y1	"Serine (or cysteine) peptidase inhibitor, clade B, member 6a (Fragment)"	Serpinb6a
E9Q3Y3	Predicted gene 14296	Gm14296
E9Q3Y4	Lipopolysaccharide-responsive and beige-like anchor protein	Lrba
E9Q3Y7	Capping protein-inhibiting regulator of actin dynamics	Cracd
E9Q3Z0	GTP-binding protein Rit1 (Fragment)	Rit1
E9Q3Z1	RIKEN cDNA B230217C12 gene	B230217C12Rik
E9Q3Z2	Transporter (Fragment)	Slc6a9
E9Q3Z4	Hexokinase	Hk3
E9Q3Z5	Supervillin	Svil
E9Q3Z8	Disks large homolog 4 (Fragment)	Dlg4
E9Q405	Unconventional myosin-XVIIIa	Myo18a
E9Q407	Olfactory receptor 571	Olfr571
E9Q409	"Protease, serine 32"	Prss32
E9Q411	Neuroblastoma-amplified sequence	Nbas
E9Q413	Olfactory receptor	Olfr920
E9Q415	"Fc receptor, IgG, low affinity IIb"	Fcgr2b
E9Q416	AP-4 complex subunit mu-1	Ap4m1
E9Q418	Receptor protein serine/threonine kinase	Tgfbr1
E9Q421	GPI-anchor transamidase	Pigk
E9Q422	RIKEN cDNA A530032D15Rik gene	A530032D15Rik
E9Q423	Dysferlin	Dysf
E9Q425	Tubulin polyglutamylase TTLL5	Ttll5
E9Q428	DNA repair protein RAD51 homolog 4	Rad51d
E9Q433	Killer cell lectin-like receptor 2	Klra2
E9Q438	Olfactory receptor	Olfr749
E9Q440	Protein HEG homolog 1	Heg1
E9Q441	Autoimmune regulator	Aire
E9Q442	Ubiquitin conjugation factor E4 A	Ube4a
E9Q444	Zinc finger and BTB domain-containing 21	Zbtb21
E9Q446	E3 ubiquitin-protein ligase RNF25	Rnf25
E9Q447	"Spectrin alpha chain, non-erythrocytic 1"	Sptan1
E9Q448	Tropomyosin alpha-1 chain	Tpm1
E9Q449	DENN domain-containing protein 4C	Dennd4c
E9Q450	Tropomyosin alpha-1 chain	Tpm1
E9Q451	Cadherin-8	Cdh8
E9Q452	Tropomyosin alpha-1 chain	Tpm1
E9Q453	Tropomyosin alpha-1 chain	Tpm1
E9Q454	Tropomyosin alpha-1 chain	Tpm1
E9Q455	Tropomyosin alpha-1 chain	Tpm1
E9Q456	Tropomyosin alpha-1 chain	Tpm1
E9Q459	Zinc finger protein 160	Zfp160
E9Q462	Zinc finger protein 758	Zfp758
E9Q467	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	Abcc4
E9Q468	Neuropeptide FF receptor 1	Npffr1
E9Q469	HMG box-containing protein 1	Hbp1
E9Q470	Serine/threonine-protein kinase WNK4	Wnk4
E9Q472	Predicted gene 884	Gm884
E9Q473	Rab-like protein 2A	Rabl2
E9Q475	Ubiquitin recognition factor in ER-associated degradation protein 1	Ufd1
E9Q478	Coiled-coil domain-containing protein 77 (Fragment)	Ccdc77
E9Q479	"Histocompatibility 2, O region beta locus"	H2-Ob
E9Q481	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	Ppp4r3a
E9Q484	5-oxoprolinase (Fragment)	Oplah
E9Q489	Calsequestrin (Fragment)	Casq1
E9Q491	Phospholipid-transporting ATPase ID (Fragment)	Atp8b2
E9Q492	PiggyBac transposable element-derived 1	Pgbd1
E9Q494	Thyroid hormone receptor-associated protein 3	Thrap3
E9Q495	AT-rich interactive domain-containing protein 1A (Fragment)	Arid1a
E9Q496	Vesicle transport protein USE1	Use1
E9Q498	RNA cytidine acetyltransferase (Fragment)	Nat10
E9Q499	Serine protease inhibitor A3G (Fragment)	Serpina3g
E9Q4A0	cAMP-regulated phosphoprotein 21	Arpp21
E9Q4A3	Antileukoproteinase (Fragment)	Slpi
E9Q4A4	X-ray repair cross-complementing protein 6 (Fragment)	Xrcc6
E9Q4A7	Transmembrane protease serine 4	Tmprss4
E9Q4A8	Nucleolar transcription factor 1	Ubtf
E9Q4B1	Protein chibby homolog 2	Cby2
E9Q4B3	Pituitary adenylate cyclase-activating polypeptide type I receptor	Adcyap1r1
E9Q4B5	Protein MIX23	Ccdc58
E9Q4B9	cAMP-regulated phosphoprotein 19	Arpp19
E9Q4C0	Inactive ADP-ribosyltransferase ARH2 (Fragment)	Adprhl1
E9Q4C1	Kelch-like protein 26	Klhl26
E9Q4C2	Homeobox protein SEBOX	Sebox
E9Q4C4	"Solute carrier family 2, facilitated glucose transporter member 3 (Fragment)"	Slc2a3
E9Q4D0	Proprotein convertase subtilisin/kexin type 6	Pcsk6
E9Q4D1	"A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17"	Adamts17
E9Q4D4	Polycystic kidney disease protein 1-like 2	Pkd1l2
E9Q4D5	GTP-binding protein REM 2	Rem2
E9Q4D7	RING finger protein 207	Rnf207
